,Area,Type,Price,Apartment Name
168,"Boisar, Palghar","1, 2 BHK Apartments",20.16 L - 24 L,Devraj Harmony Enclave
169,"Boisar, Palghar",1 BHK Apartment,20.0 L,Shree Om Sai Apartment
170,"Shelwadi, Palghar","1, 2 BHK Apartments",11.79 L - 16.83 L,Build Sathya Lifestyles
171,"Nandore, Palghar",1 BHK Apartment,Price on Request,VBHC Vaibhav Greens
172,"Manor, Palghar","1, 2 BHK Apartments",Price on Request,Khushi Aangan
173,"Boisar, Palghar","1 RK, 1, 2 BHK Apartments",8.13 L - 17 L,Divyaraj Valuehomes
174,"Boisar, Palghar","1 RK, 1 BHK Apartments",9.18 L - 14.29 L,Angel Ashapura Apartment
175,"Boisar, Palghar","1, 2 BHK Apartments",12.42 L - 17.71 L,Swastik Premiere Park
176,"Boisar, Palghar","1, 2 BHK Apartments",12.21 L - 19.96 L,Sodhi Presidency
177,"Boisar, Palghar","1, 2 BHK Apartments",17.33 L - 26.81 L,Deeksha Atmaram Park
178,"Boisar, Palghar","1, 2 BHK Apartments",14.14 L - 19.6 L,Rander Krishna Nagar
179,"Boisar, Palghar","1, 2, 2.5, 3 BHK Apartments",19.53 L - 48.83 L,KVC Laxman Complex
180,"Boisar, Palghar","1, 2 BHK Apartments",Price on Request,Falcon Everglades I
181,"Boisar, Palghar",1 RK Apartment,7.65 L,Divyaraj Valuehomes Bldg C And D
182,"Boisar, Palghar",1 BHK Apartment,16.48 L - 17.12 L,Shreya Krishna Kunj
183,"Boisar, Palghar","1, 2 BHK Apartments",Price on Request,Rajesh Mahavir Niwas
184,"Boisar, Palghar","1 RK, 1 BHK Apartments",Price on Request,Deeksha Tulsi Apartments
185,"Boisar, Palghar",1 BHK Apartment,15.28 L - 15.53 L,Pavani Parasnath Township
186,"Boisar, Palghar","1, 2 BHK Apartments",13.65 L - 21.05 L,Aasha Sai Siddhi Apt.
187,"Boisar, Palghar",1 BHK Apartment,14.56 L,Rajesh Mahavir Krupa D
188,"Boisar, Palghar","1, 2 BHK Apartments",15.15 L - 27.3 L,Hari Om Park
189,"Boisar, Palghar","1, 2 BHK Apartments",16.87 L - 21.23 L,Gurukrupa Anand Park
190,"Boisar, Palghar","1, 2 BHK Apartments",13.72 L - 26.04 L,Pooja Plaza
191,"Boisar, Palghar",2 BHK Apartment,15.32 L,THDC Thakur Icon A
192,"Boisar, Palghar","1 RK, 1, 2, 3 BHK Apartments",10.82 L - 30.2 L,Nine Krisha Arcade
193,"Boisar, Palghar","1, 2 BHK Apartments",7.76 L - 17.92 L,Shreenath Parasnath Township Building 1 And 2
194,"Boisar, Palghar","1, 2 BHK Apartments",14.67 L - 21.05 L,Aasha Sai Complex
195,"Boisar, Palghar","1, 2 BHK Apartments",13.8 L - 18.06 L,Sai Kailash Apartment
196,"Boisar, Palghar","1 RK, 1, 2 BHK Apartments",10.15 L - 25.0 L,Asmi Greens
197,"Boisar, Palghar","1, 2 BHK Apartments",11.52 L - 19.36 L,Shreya Ocean Complex
198,"Boisar, Palghar",1 BHK Apartment,16.66 L,Goldstar T3 Goldstar City
199,"Boisar, Palghar","1, 2 BHK Apartments",15.39 L - 21.09 L,Vidhata Naina Apartments
200,"Boisar, Palghar",2 BHK Apartment,21.15 L,Rajmandir Gardens
201,"Boisar, Palghar",1 BHK Apartment,13.39 L - 14.54 L,Galaxy Unity Kasturi Park
202,"Boisar, Palghar","1, 2 BHK Apartments",20.19 L - 24.26 L,Aaditya Navkar Residency
203,"Boisar, Palghar","1, 3 BHK Apartments",16.12 L - 34.72 L,New Residency
204,"Boisar, Palghar",1 BHK Apartment,15.54 L - 15.68 L,Gajanan Ideal City Bldg No - 1
205,"Boisar, Palghar","1 RK, 1, 2, 3 BHK Apartments",Price on Request,Shah Shanti Vista
206,"Boisar, Palghar",1 BHK Apartment,17.13 L,Abhishek Apartment C - Wing  - Divine Shelters &amp; Tanisha Construction
207,"Boisar, Palghar",1 BHK Apartment,16.05 L - 18.3 L,Sugandhi Siddhi Complex
208,Palghar,"Studio, 1 BHK Apartment, Studio Apartments",Price on Request,Rijvita Serenity
209,"Boisar, Palghar","1, 2 BHK Apartments",10.58 L - 14.58 L,Vaidehi Complex
210,Palghar,"1, 2, 3.5 BHK Apartments",10.08 L - 28.8 L,Krunal Indigo Riverside Residences
211,"Boisar, Palghar","1, 2 BHK Apartments",16.47 L - 19.71 L,Suvidha Grahnirman Raul Nagar
212,"Boisar, Palghar","1, 2 BHK Apartments",12.42 L - 19.29 L,Sai Balaji Janki Park
213,"Boisar, Palghar",1 BHK Apartment,11.98 L,Muskaan Shree Moujai Mata Apt
214,"Boisar, Palghar","1, 2 BHK Apartments",14.85 L - 25.05 L,Shree Complex
